,zipcode,Center Exists,employment rate,average income,zipcode group 1,Demand Type,total_capacity,under-5_capacity,0-4,5-9,10-12,Total Kid Count,Desert
0,10001,Y,0.5950970226633091,102878.03360298694,100,Normal,609.0,0.0,744.0,784.0,565.1999999999999,2093.2,Y
1,10005,Y,0.6658334280195433,121437.7133105802,100,High,39.0,0.0,484.0,204.0,137.4,825.4,Y
2,10007,Y,0.528910205169198,138853.90428211587,100,Normal,284.0,0.0,605.0,451.0,174.0,1230.0,Y
3,10010,Y,0.4927491514964517,116272.69881026926,100,Normal,234.0,0.0,1422.0,1592.0,568.8,3582.8,Y
4,10012,Y,0.5382730015082956,111131.78633975482,100,Normal,24.0,0.0,613.0,161.0,244.2,1018.2,Y
5,10013,Y,0.4861983499134213,106023.04469273744,100,Normal,435.0,0.0,1249.0,1108.0,825.6,3182.6,Y
6,10016,Y,0.5652117934852582,109298.7308818744,100,Normal,823.0,0.0,1798.0,1261.0,846.0,3905.0,Y
7,10017,Y,0.7773022228358415,118061.72291296624,100,High,107.0,0.0,193.0,177.0,139.2,509.2,Y
8,10018,N,0.757593255572237,108746.18902439025,100,High,0.0,0.0,242.0,218.0,74.39999999999999,534.4,Y
9,10019,Y,0.6170789879811065,107014.96779082986,100,High,591.0,0.0,1099.0,728.0,265.2,2092.2,Y
10,10021,Y,0.5418040450765218,124193.91462306994,100,Normal,460.0,0.0,1787.0,1174.0,1376.3999999999999,4337.4,Y
11,10022,Y,0.5698803072708867,124320.79414838034,100,Normal,16.0,0.0,1228.0,926.0,648.6,2802.6,Y
12,10023,Y,0.5057376799683438,121776.25639482395,100,Normal,1099.0,0.0,3548.0,2435.0,1317.6,7300.6,Y
13,10024,Y,0.4603816866855704,118313.14878892733,100,Normal,1243.0,9.0,4221.0,2929.0,1704.0,8854.0,Y
14,10025,Y,0.4391264898750361,93258.39398919934,100,Normal,2553.0,54.6,4499.0,3510.0,2164.7999999999997,10173.8,Y
15,10026,Y,0.4513262772768849,65380.71800810655,100,Normal,1706.0,10.799999999999999,2222.0,1962.0,1297.2,5481.2,Y
16,10028,Y,0.5260625150381696,117822.24532224532,100,Normal,348.0,21.599999999999998,1719.0,2175.0,1004.4,4898.4,Y
17,10029,Y,0.4520326923585579,48339.6723229959,100,High,3358.0,0.0,3965.0,3262.0,2446.7999999999997,9673.8,Y
18,10033,Y,0.4276881674643593,52235.16527279968,100,High,2893.0,0.0,3206.0,2430.0,1608.6,7244.6,Y
19,10037,Y,0.5026648552617828,57120.58212058212,100,High,586.0,12.6,1070.0,932.0,564.0,2566.0,Y
20,10039,Y,0.4219225750326228,47026.16970658208,100,High,1423.0,0.0,1898.0,1576.0,1158.0,4632.0,Y
21,10044,Y,0.3992908998818166,86945.03171247357,100,Normal,489.0,0.0,939.0,495.0,322.8,1756.8,Y
22,10065,Y,0.491266729317217,120720.64643799471,100,Normal,845.0,24.0,2230.0,1269.0,601.1999999999999,4100.2,Y
23,10069,Y,0.519252276721521,133653.84615384616,100,Normal,16.0,0.0,690.0,270.0,325.8,1285.8,Y
24,10075,Y,0.5635451505016722,120113.13056379822,100,Normal,235.0,0.0,1243.0,806.0,471.59999999999997,2520.6,Y
25,10128,Y,0.5517241379310345,111992.48721227625,101,Normal,301.0,0.0,2791.0,1775.0,1093.2,5659.2,Y
26,10199,N,0.5253696198519257,124664.00676403285,101,Normal,0.0,0.0,0.0,0.0,0.0,0.0,Y
27,10282,Y,0.3286821705426356,152181.6037735849,102,Normal,279.0,0.0,418.0,566.0,354.0,1338.0,Y
28,10301,Y,0.4564726885026406,66913.36230309615,103,Normal,1905.0,6.0,2780.0,2123.0,1230.6,6133.6,Y
29,10302,Y,0.4766521247374374,57217.51412429378,103,High,744.0,0.0,1338.0,1203.0,783.0,3324.0,Y
30,10303,Y,0.4733596721190414,52778.861154446175,103,High,1629.0,0.0,1262.0,1716.0,1326.6,4304.6,Y
31,10305,Y,0.496553031200398,64277.19465648855,103,Normal,786.0,0.0,1653.0,2272.0,1336.8,5261.8,Y
32,10306,Y,0.5132309005548442,73657.31115731115,103,Normal,578.0,0.0,2606.0,2860.0,2461.7999999999997,7927.799999999999,Y
33,10307,Y,0.4662826160623517,86900.43604651163,103,Normal,259.0,0.0,1098.0,525.0,583.1999999999999,2206.2,Y
34,10308,Y,0.4721529509559434,81452.4647887324,103,Normal,447.0,0.0,1106.0,1609.0,1173.6,3888.6,Y
35,10309,Y,0.4602763385146804,85576.92307692306,103,Normal,297.0,0.0,1936.0,1834.0,1605.6,5375.6,Y
36,10310,Y,0.4500933724608407,67453.42929720576,103,Normal,1168.0,0.0,2167.0,1486.0,1106.3999999999999,4759.4,Y
37,10312,Y,0.4781560663589242,83484.34925864909,103,Normal,1140.0,4.8,3668.0,4364.0,2055.0,10087.0,Y
38,10454,Y,0.389063374966523,35661.76470588235,104,High,3163.0,0.0,2870.0,2975.0,2091.6,7936.6,Y
39,10457,Y,0.4239698309883859,34633.56973995271,104,High,6559.0,0.0,6785.0,6324.0,4157.4,17266.4,Y
40,10461,Y,0.4883227176220807,57890.49919484702,104,High,1462.0,0.0,2750.0,3178.0,1992.0,7920.0,Y
41,10462,Y,0.508481160170918,49331.55080213904,104,High,3425.0,0.0,5581.0,4432.0,3350.4,13363.4,Y
42,10464,Y,0.5009319664492078,84418.6046511628,104,Normal,114.0,0.0,75.0,329.0,114.6,518.6,Y
43,10465,Y,0.4288398004793677,67554.12890231621,104,Normal,1888.0,0.0,3268.0,2118.0,1820.3999999999999,7206.4,Y
44,10470,Y,0.4899285250162443,58968.83289124668,104,High,632.0,0.0,1311.0,578.0,265.2,2154.2,Y
45,10471,Y,0.4347256204124432,91633.16582914571,104,Normal,284.0,0.0,1015.0,790.0,703.1999999999999,2508.2,Y
46,10472,Y,0.4482024416770063,37918.66028708134,104,High,3593.0,0.0,5321.0,4406.0,2663.4,12390.4,Y
47,10474,Y,0.4441489361702128,35229.54091816367,104,High,1194.0,0.0,1001.0,1151.0,449.4,2601.4,Y
48,10475,Y,0.5172691132201209,56136.16170590848,104,High,1808.0,0.0,3115.0,2284.0,1057.2,6456.2,Y
49,10501,N,0.4943502824858757,105178.57142857142,105,Normal,0.0,0.0,16.0,40.0,71.39999999999999,127.39999999999999,Y
50,10502,Y,0.4995648389904265,120470.38327526132,105,Normal,273.0,0.0,322.0,366.0,318.59999999999997,1006.5999999999999,Y
51,10503,N,0.5113359266983857,100811.24844261885,105,Normal,0.0,0.0,0.0,0.0,0.0,0.0,Y
52,10505,N,0.7243816254416962,92225.60975609758,105,High,0.0,0.0,44.0,71.0,48.6,163.6,Y
53,10507,Y,0.4216773387474621,85787.03703703704,105,Normal,220.0,122.6,425.0,448.0,189.0,1062.0,Y
54,10511,Y,0.5173169662428759,82944.91525423728,105,Normal,72.0,0.0,119.0,95.0,88.2,302.2,Y
55,10514,Y,0.4258957021838812,136587.5912408759,105,Normal,585.0,294.0,732.0,1008.0,682.1999999999999,2422.2,Y
56,10516,Y,0.4923903312444047,99500.0,105,Normal,163.0,114.6,283.0,261.0,172.79999999999998,716.8,Y
57,10518,N,0.8554216867469879,113556.338028169,105,High,0.0,0.0,11.0,24.0,16.2,51.2,Y
58,10519,N,0.5113359266983857,100811.24844261885,105,Normal,0.0,0.0,0.0,0.0,23.4,23.4,Y
59,10524,Y,0.4926335174953959,102978.9719626168,105,Normal,16.0,0.0,131.0,156.0,219.6,506.6,Y
60,10526,N,0.4951005673027334,105338.54166666666,105,Normal,0.0,0.0,81.0,81.0,86.39999999999999,248.39999999999998,Y
61,10528,Y,0.4463750748951468,100964.76510067114,105,Normal,690.0,336.2,786.0,952.0,640.8,2378.8,Y
62,10530,Y,0.5131298793470547,105584.37067773168,105,Normal,405.0,125.6,867.0,560.0,319.2,1746.2,Y
63,10533,Y,0.510286951813752,121352.7851458886,105,Normal,157.0,52.8,538.0,808.0,380.4,1726.4,Y
64,10536,Y,0.4853199962952672,118916.9847328244,105,Normal,315.0,174.4,515.0,842.0,549.6,1906.6,Y
65,10537,N,0.4120229652144546,77254.09836065574,105,Normal,0.0,0.0,100.0,185.0,156.0,441.0,Y
66,10538,Y,0.4663447884123828,127009.74421437272,105,Normal,455.0,254.40000000000003,1213.0,1586.0,1014.5999999999999,3813.6,Y
67,10542,N,0.5113359266983857,100811.24844261885,105,Normal,0.0,0.0,0.0,0.0,0.0,0.0,Y
68,10543,Y,0.4652037028335135,95909.09090909093,105,Normal,867.0,295.59999999999997,1142.0,1848.0,718.8,3708.8,Y
69,10545,N,0.5113359266983857,100811.24844261885,105,Normal,0.0,0.0,0.0,8.0,0.0,8.0,Y
70,10546,N,0.6947162426614482,120246.47887323944,105,High,0.0,0.0,47.0,34.0,43.199999999999996,124.19999999999999,Y
71,10548,Y,0.382366171839856,86397.05882352941,105,Normal,121.0,47.8,303.0,202.0,94.8,599.8,Y
72,10549,Y,0.529746835443038,92114.69534050178,105,Normal,734.0,436.0,1395.0,681.0,570.6,2646.6,Y
73,10553,Y,0.5481664449933498,58578.856152513,105,High,156.0,0.0,438.0,549.0,226.2,1213.2,Y
74,10560,Y,0.4562814070351759,104955.94713656387,105,Normal,129.0,0.0,383.0,296.0,185.4,864.4,Y
75,10567,Y,0.5107379540584982,97280.48780487804,105,Normal,303.0,139.8,1135.0,994.0,870.6,2999.6,Y
76,10570,Y,0.4624848116646415,112294.74548440066,105,Normal,316.0,112.19999999999999,659.0,743.0,509.4,1911.4,Y
77,10573,Y,0.4740027710931233,73685.89743589744,105,Normal,1573.0,362.2,2248.0,2328.0,1350.0,5926.0,Y
78,10576,Y,0.5175563223056627,125196.07843137256,105,Normal,40.0,0.0,98.0,200.0,161.4,459.4,Y
79,10578,N,0.2348993288590604,91964.28571428572,105,Normal,0.0,0.0,28.0,211.0,145.79999999999998,384.79999999999995,Y
80,10580,Y,0.4624661171654589,125284.09090909093,105,Normal,410.0,174.0,801.0,1580.0,1046.3999999999999,3427.3999999999996,Y
81,10583,Y,0.4617218478604617,127798.99894625922,105,Normal,1776.0,918.2,2181.0,3239.0,2222.4,7642.4,Y
82,10588,Y,0.4065533980582524,91138.05970149252,105,Normal,41.0,0.0,322.0,83.0,162.0,567.0,Y
