,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,under-5_capacity
0,2416,FDC,Registration,"Bohrer, Barbara",Clinton,13323,Clinton,0,0,0,2,6,8,,,0.0
1,5555,FDC,Registration,"Matey, Sally",Jamestown,14701,Jamestown,0,0,0,2,6,8,,,0.0
2,9066,FDC,Registration,"Copeland, Denise",Wappingers Falls,12590,Wappingers,0,0,0,2,6,8,,,0.0
3,40163,DCC,License,"Head Start of Rockland, Inc.",Nyack,10960,Nyack,0,10,110,0,0,120,41.089425,-73.920413,76.0
4,41016,SACC,Registration,"School's Out, Inc.",Glenmont,12077,Bethlehem,0,0,0,75,0,75,42.607043,-73.788606,0.0
5,42005,DCC,License,Circle of Friends,Ravena,12143,,0,0,68,0,0,68,,,40.8
6,51349,FDC,Registration,"Valerio, Gladys",Bronx,10474,Bronx 8,0,0,0,0,6,6,40.818399,-73.888816,0.0
7,73544,SACC,Registration,YMCA OF GREATER NY,New York,10017,Manhattan 2,0,0,0,60,0,60,40.753216,-73.970794,0.0
8,108407,GFDC,License,"Almond Tree Group Family Day Care, LLC",Brooklyn,11225,Brooklyn 17,0,0,0,4,12,16,,,0.0
9,111953,GFDC,License,"Williams, Petal",Brooklyn,11226,Brooklyn 22,0,0,0,4,12,16,,,0.0
10,126425,GFDC,License,"Hernandez, Lidia",Bronx,10465,Bronx 8,0,0,0,0,12,12,40.841228,-73.823572,0.0
11,135331,DCC,License,North Country Preschool,Malone,12953,Malone,0,0,20,0,0,20,44.847878,-74.297567,12.0
12,173555,DCC,License,Racker,Cortland,13045,Cortland,0,0,85,0,0,85,42.574853,-76.216804,51.0
13,187741,GFDC,License,Stars of Wonder Child Care Corp.,Sleepy Hollow,10591,Tarrytown,0,0,0,4,12,16,,,0.0
14,234238,GFDC,License,"Navedo, Edith",Bronx,10469,Bronx 11,0,0,0,4,12,16,40.865752,-73.847882,0.0
15,250057,SACC,Registration,KIPS BAY BOYS & GIRLS CLUB,BRONX,10473,Bronx 8,0,0,0,240,0,240,40.819564,-73.848827,0.0
