zipcode,Build_Small,Build_Medium,Build_Large,New_Total,U5_From_New,New_U5,Existing_Total,Expand_Total,Need_Total,Meet_Total_Demand,Existing_U5,Expand_U5,Need_U5,Meet_U5_Demand,Desert_Eliminated,Cost_Build,Cost_ExpandBase,Cost_U5_Equip,Total_Cost
10001,0,0,0,0,0,0,609,496,698,TRUE,0,496,496,TRUE,TRUE,0,156798.1439,49600,206398.1439
10005,0,1,1,600,300,300,39,23,413,TRUE,0,23,323,TRUE,TRUE,210000,16394.87179,32300,258694.8718
10007,0,0,1,400,200,200,284,204,410,TRUE,0,204,404,TRUE,TRUE,115000,63466.66667,40400,218866.6667
10010,0,0,4,1600,800,800,234,148,1195,TRUE,0,148,948,TRUE,TRUE,460000,50742.85714,94800,605542.8571
10012,0,0,2,800,400,400,24,9,340,TRUE,0,9,409,TRUE,TRUE,230000,13050,40900,283950
10013,0,0,2,800,400,400,435,433,1061,TRUE,0,433,833,TRUE,TRUE,230000,131911.4138,83300,445211.4138
10016,0,0,2,800,400,400,823,799,1302,TRUE,0,799,1199,TRUE,TRUE,230000,198920.7951,119900,548820.7951
10017,1,0,0,100,50,50,107,79,255,TRUE,0,79,129,TRUE,TRUE,65000,42778.7234,12900,120678.7234
10018,0,0,1,400,162,162,0,0,268,TRUE,0,0,162,TRUE,TRUE,115000,0,16200,131200
10019,0,0,1,400,200,200,591,533,1047,TRUE,0,533,733,TRUE,TRUE,115000,175867.1389,73300,364167.1389
10021,0,0,4,1600,800,800,460,392,1446,TRUE,0,392,1192,TRUE,TRUE,460000,95443.47826,119200,674643.4783
10022,0,0,4,1600,800,800,16,19,935,TRUE,0,19,819,TRUE,TRUE,460000,27550,81900,569450
10023,0,0,6,2400,1200,1200,1099,1166,2434,TRUE,0,1166,2366,TRUE,TRUE,690000,360729.4294,236600,1287329.429
10024,0,0,8,3200,1600,1600,1243,1205,2952,TRUE,9,1205,2814,TRUE,TRUE,920000,386898.585,280500,1587398.585
10025,0,0,2,800,400,400,2553,2546,3392,TRUE,54.6,2546,3000,TRUE,TRUE,230000,830460.7278,294600,1355060.728
10026,0,0,0,0,0,0,1706,1472,1828,TRUE,10.8,1472,1482,TRUE,TRUE,0,497350.716,147200,644550.716
10028,0,0,4,1600,800,800,348,325,1633,TRUE,21.6,325,1146,TRUE,TRUE,460000,85569.62025,112500,658069.6203
10029,0,0,0,0,0,0,3358,2644,4837,TRUE,0,2644,2644,TRUE,TRUE,0,866070.7367,264400,1130470.737
