zipcode,Build_Small,Build_Medium,Build_Large,New_Total,U5_From_New,New_U5,Existing_Total,Expand_Total,Need_Total,Meet_Total_Demand,Existing_U5,Expand_U5,Need_U5,Meet_U5_Demand,Desert_Eliminated,Cost_Build,Cost_ExpandBase,Cost_U5_Equip
10001,0,0,2,800,400,400,609,96,698,TRUE,0,96,496,TRUE,TRUE,230000,78237.0777,49600
10005,0,0,2,800,323,323,39,0,413,TRUE,0,0,323,TRUE,TRUE,230000,0,32300
10007,0,0,2,800,400,400,284,4,410,TRUE,0,4,404,TRUE,TRUE,230000,1244.444444,40400
10010,0,0,5,2000,948,948,234,0,1195,TRUE,0,0,948,TRUE,TRUE,575000,0,94800
10012,1,0,2,900,409,409,24,0,340,TRUE,0,0,409,TRUE,TRUE,295000,0,40900
10013,0,0,4,1600,800,800,435,33,1061,TRUE,0,33,833,TRUE,TRUE,460000,10017.28873,83300
10016,0,0,6,2400,1199,1199,823,0,1302,TRUE,0,0,1199,TRUE,TRUE,690000,0,119900
10017,0,0,1,400,129,129,107,0,255,TRUE,0,0,129,TRUE,TRUE,115000,0,12900
10018,0,0,1,400,162,162,0,0,268,TRUE,0,0,162,TRUE,TRUE,115000,,16200
10019,0,1,3,1400,700,700,591,33,1047,TRUE,0,33,733,TRUE,TRUE,440000,10243.53677,73300
10021,0,0,6,2400,1192,1192,460,0,1446,TRUE,0,0,1192,TRUE,TRUE,690000,0,119200
10022,1,0,4,1700,819,819,16,0,935,TRUE,0,0,819,TRUE,TRUE,525000,0,81900
10023,0,0,11,4400,2200,2200,1099,166,2434,TRUE,0,166,2366,TRUE,TRUE,1265000,96621.90493,236600
10024,0,0,14,5600,2800,2800,1243,5,2952,TRUE,9,5,2814,TRUE,TRUE,1610000,1185.185185,280500
10025,0,0,14,5600,2800,2800,2553,146,3392,TRUE,54.6,146,3000,TRUE,TRUE,1610000,40675.85802,294600
10026,0,0,7,2800,1400,1400,1706,72,1828,TRUE,10.8,72,1482,TRUE,TRUE,805000,21766.74021,147200
